Región,Productos seleccionados,Unidad de medida,Date,Price,product_id
Cuyo,Leche fresca entera sachet,Litro,2017-09-01,23.85,61
Patagonia,Pollo entero,kg,2017-09-01,44.73,84
Patagonia,Fideos secos tipo guisero,500 g,2017-09-01,20.98,36
Patagonia,Harina de trigo común,kg,2017-09-01,12.06,42
Patagonia,Pan francés,kg,2017-09-01,39.49,72
Cuyo,Jabón de tocador,125 g,2017-09-01,14.89,49
Cuyo,Lavandina,1.000 cc,2017-09-01,15.11,55
Cuyo,Detergente líquido,750 cc,2017-09-01,21.4,25
Cuyo,Azúcar,kg,2017-09-01,18.69,13
Cuyo,Papa,kg,2017-09-01,13.28,73
Patagonia,Carne picada común,kg,2017-09-01,94.13,24
Noroeste,Pan francés,kg,2017-09-01,33.24,70
Patagonia,Jabón de tocador,125 g,2017-09-01,15.58,54
Noreste,Lavandina,1.000 cc,2017-09-01,15.77,57
Pampeana,Fideos secos tipo guisero,500 g,2017-09-01,18.01,35
Pampeana,Arroz blanco simple,kg,2017-09-01,21.97,11
Pampeana,Harina de trigo común,kg,2017-09-01,11.25,41
Pampeana,Pan francés,kg,2017-09-01,32.62,71
GBA,Jabón de tocador,125 g,2017-09-01,14.51,50
GBA,Lavandina,1.000 cc,2017-09-01,15.96,56
GBA,Detergente líquido,750 cc,2017-09-01,20.08,26
GBA,Azúcar,kg,2017-09-01,19.78,14
Pampeana,Carne picada común,kg,2017-09-01,77.31,23
GBA,Papa,kg,2017-09-01,14.37,74
GBA,Leche fresca entera sachet,Litro,2017-09-01,21.81,62
GBA,Aceite de girasol,"1,5 litros",2017-09-01,54.09,2
GBA,Pollo entero,kg,2017-09-01,38.57,80
GBA,Carne picada común,kg,2017-09-01,73.28,20
GBA,Fideos secos tipo guisero,500 g,2017-09-01,19.86,32
GBA,Arroz blanco simple,kg,2017-09-01,21.49,8
GBA,Harina de trigo común,kg,2017-09-01,10.66,38
GBA,Pan francés,kg,2017-09-01,39.71,68
GBA,Huevos de gallina,Docena,2017-09-01,33.7,44
Pampeana,Pollo entero,kg,2017-09-01,40.54,83
Noreste,Jabón de tocador,125 g,2017-09-01,14.79,51
Pampeana,Leche fresca entera sachet,Litro,2017-09-01,23.53,65
Noreste,Detergente líquido,750 cc,2017-09-01,20.34,27
Noreste,Azúcar,kg,2017-09-01,18.37,15
Noreste,Papa,kg,2017-09-01,13.51,75
Noreste,Huevos de gallina,Docena,2017-09-01,29.32,45
Noreste,Leche fresca entera sachet,Litro,2017-09-01,23.39,63
Pampeana,Aceite de girasol,"1,5 litros",2017-09-01,55.8,5
Noreste,Pollo entero,kg,2017-09-01,39.05,81
Noreste,Carne picada común,kg,2017-09-01,74.83,21
Noreste,Fideos secos tipo guisero,500 g,2017-09-01,14.7,33
Noreste,Aceite de girasol,"1,5 litros",2017-09-01,54.33,3
Noreste,Harina de trigo común,kg,2017-09-01,11.06,39
Noreste,Pan francés,kg,2017-09-01,29.4,69
Pampeana,Jabón de tocador,125 g,2017-09-01,14.82,53
Pampeana,Lavandina,1.000 cc,2017-09-01,15.06,59
Pampeana,Detergente líquido,750 cc,2017-09-01,22.38,29
Pampeana,Azúcar,kg,2017-09-01,19.45,17
Pampeana,Papa,kg,2017-09-01,14.53,77
Pampeana,Huevos de gallina,Docena,2017-09-01,33.11,47
Noreste,Arroz blanco simple,kg,2017-09-01,20.07,9
Noroeste,Lavandina,1.000 cc,2017-10-01,15.74,58
Noroeste,Jabón de tocador,125 g,2017-10-01,15.31,52
Cuyo,Pan francés,kg,2017-10-01,29.35,67
Cuyo,Carne picada común,kg,2017-10-01,73.88,19
Cuyo,Arroz blanco simple,kg,2017-10-01,19.6,7
Cuyo,Fideos secos tipo guisero,500 g,2017-10-01,18.85,31
Cuyo,Harina de trigo común,kg,2017-10-01,10.58,37
Noroeste,Detergente líquido,750 cc,2017-10-01,24.34,28
Noroeste,Harina de trigo común,kg,2017-10-01,10.85,40
Noroeste,Papa,kg,2017-10-01,11.55,76
Noroeste,Huevos de gallina,Docena,2017-10-01,30.81,46
Noroeste,Leche fresca entera sachet,Litro,2017-10-01,22.76,64
Noroeste,Aceite de girasol,"1,5 litros",2017-10-01,54.7,4
Noroeste,Pollo entero,kg,2017-10-01,40.48,82
Noroeste,Carne picada común,kg,2017-10-01,84.82,22
Noroeste,Fideos secos tipo guisero,500 g,2017-10-01,13.93,34
Noroeste,Arroz blanco simple,kg,2017-10-01,19.74,10
Cuyo,Pollo entero,kg,2017-10-01,40.0,79
